Country,Rank,Account,Title,Link,Subscribers count,Views avg.,Likes avg.,Comments avg.,Shares avg.,Scraped
All,-1.7294542457122097,billieeilish,BILLIE EILISH,https://www.tiktok.com/@billieeilish,3.1777688806492628,19.437077202070164,25.33649360798598,18.85632304554164,0.2629689091127785,2022-02-07 16:54:35.641971
All,-1.725991874849923,badbunny,Bad Bunny,https://www.tiktok.com/@badbunny,0.5841095476122521,6.301490753808726,9.829856971050207,12.534010414693455,0.5729126467183396,2022-02-07 16:54:35.641971
All,-1.7225295039876363,chipmunksoftiktok,Chipmunks of TikTok,https://www.tiktok.com/@chipmunksoftiktok,0.40016207718409524,4.534466969034497,3.6559183100480026,2.2200136380959132,0.3189972001414761,2022-02-07 16:54:35.641971
All,-1.7190671331253495,charlidamelio,charli d’amelio,https://www.tiktok.com/@charlidamelio,11.804905243729818,3.193232048061287,3.081598434605937,6.4563493927783,0.14614396186145162,2022-02-07 16:54:35.641971
All,-1.7156047622630628,yessicadcs,Yessica y Moises 🦜,https://www.tiktok.com/@yessicadcs,-0.624085030280446,2.767443184260268,1.3586388082797405,1.4989352117669963,0.7612630718786422,2022-02-07 16:54:35.641971
All,-1.7121423914007763,therock,The Rock,https://www.tiktok.com/@therock,3.922756135883298,4.470598639464344,3.6559183100480026,3.3917660808804033,0.03408737980405641,2022-02-07 16:54:35.641971
All,-1.7086800205384896,the_pruld,ThePruld,https://www.tiktok.com/@the_pruld,-0.6084862847881384,1.8094182407079753,3.2251784034664532,4.0870917062690015,0.27369773079912485,2022-02-07 16:54:35.641971
All,-1.7052176496762028,lukedonkin,Luke Donkin,https://www.tiktok.com/@lukedonkin,-0.46439103382824176,2.1926282181288923,2.7944384968849043,3.7909344954553394,0.26356495476201997,2022-02-07 16:54:35.641971
All,-1.701755278813916,mastertingus,mastertingus,,-0.5287726484780967,2.064891558988587,2.220118621442839,3.597788488402951,0.1991920246439419,2022-02-07 16:54:35.641971
All,-1.6982929079516293,txt.bighitent,TOMORROW X TOGETHER,https://www.tiktok.com/@txt.bighitent,0.758859644519001,0.7449460812054279,2.5072785591638715,6.778259404532281,0.12111004459331014,2022-02-07 16:54:35.641971
All,-1.6948305370893426,besttoks,Best of TikTok,https://www.tiktok.com/@besttoks,-0.48278578087105745,11.112904914760241,1.5022187771402569,-0.16212044888354454,0.012033690782122254,2022-02-07 16:54:35.641971
All,-1.6913681662270559,machinegunkelly,Colson,https://www.tiktok.com/@machinegunkelly,-0.35402255157134765,2.9377587297806755,1.3586388082797405,2.863833661603875,0.07521452960171741,2022-02-07 16:54:35.641971
