founded,employees,job_openings,FoundedYears,founded_binary,employees_binary,job_openings_binary
2015.0,655.0,25.0,8.0,2015.0,655.0,25.0
2012.5448798988623,201.0,1.0,,2012.5448798988623,201.0,1.0
2016.0,511.0,1.0,7.0,2016.0,511.0,1.0
2017.0,355.0,4.0,6.0,2017.0,355.0,4.0
2019.0,551.0,1.0,4.0,2019.0,551.0,1.0
2018.0,201.0,1.0,5.0,2018.0,201.0,1.0
2013.0,561.0,3.0,10.0,2013.0,561.0,3.0
2018.0,621.0,38.0,5.0,2018.0,621.0,38.0
2012.5448798988623,177.0,1.0,,2012.5448798988623,177.0,1.0
2014.0,481.0,10.0,9.0,2014.0,481.0,10.0
2012.5448798988623,131.0,1.0,,2012.5448798988623,131.0,1.0
2012.5448798988623,431.0,1.0,,2012.5448798988623,431.0,1.0
2011.0,378.0,39.0,12.0,2011.0,378.0,39.0
2017.0,628.0,28.0,6.0,2017.0,628.0,28.0
2020.0,427.0,1.0,3.0,2020.0,427.0,1.0
2018.0,269.0,1.0,5.0,2018.0,269.0,1.0
2015.0,435.0,1.0,8.0,2015.0,435.0,1.0
2017.0,197.0,1.0,6.0,2017.0,197.0,1.0
2019.0,459.0,1.0,4.0,2019.0,459.0,1.0
2006.0,538.0,21.0,17.0,2006.0,538.0,21.0
2009.0,299.0,1.0,14.0,2009.0,299.0,1.0
2015.0,577.0,26.0,8.0,2015.0,577.0,26.0
2015.0,266.0,26.0,8.0,2015.0,266.0,26.0
2018.0,295.0,1.0,5.0,2018.0,295.0,1.0
2009.0,412.0,10.0,14.0,2009.0,412.0,10.0
2017.0,497.0,10.0,6.0,2017.0,497.0,10.0
2016.0,200.0,1.0,7.0,2016.0,200.0,1.0
2021.0,117.0,1.0,2.0,2021.0,117.0,1.0
2014.0,325.0,6.0,9.0,2014.0,325.0,6.0
2012.5448798988623,294.0,1.0,,2012.5448798988623,294.0,1.0
2018.0,567.0,10.0,5.0,2018.0,567.0,10.0
2021.0,181.0,1.0,2.0,2021.0,181.0,1.0
2010.0,533.0,58.0,13.0,2010.0,533.0,58.0
2014.0,599.0,20.0,9.0,2014.0,599.0,20.0
2017.0,601.0,1.0,6.0,2017.0,601.0,1.0
2019.0,196.0,1.0,4.0,2019.0,196.0,1.0
2020.0,245.0,1.0,3.0,2020.0,245.0,1.0
2017.0,322.0,3.0,6.0,2017.0,322.0,3.0
2014.0,416.0,7.0,9.0,2014.0,416.0,7.0
2016.0,562.0,43.0,7.0,2016.0,562.0,43.0
2015.0,153.0,1.0,8.0,2015.0,153.0,1.0
2018.0,298.0,1.0,5.0,2018.0,298.0,1.0
2018.0,109.0,1.0,5.0,2018.0,109.0,1.0
2019.0,148.0,1.0,4.0,2019.0,148.0,1.0
2019.0,69.0,1.0,4.0,2019.0,69.0,1.0
2019.0,344.0,13.0,4.0,2019.0,344.0,13.0
2016.0,384.0,2.0,7.0,2016.0,384.0,2.0
2012.5448798988623,103.0,1.0,,2012.5448798988623,103.0,1.0
2012.0,501.0,1.0,11.0,2012.0,501.0,1.0
2014.0,236.0,1.0,9.0,2014.0,236.0,1.0
2016.0,751.0,38.0,7.0,2016.0,751.0,38.0
2019.0,651.0,1.0,4.0,2019.0,651.0,1.0
2014.0,179.0,1.0,9.0,2014.0,179.0,1.0
2018.0,655.0,2.0,5.0,2018.0,655.0,2.0
2012.5448798988623,138.0,1.0,,2012.5448798988623,138.0,1.0
2017.0,584.0,52.0,6.0,2017.0,584.0,52.0
2013.0,331.0,20.0,10.0,2013.0,331.0,20.0
2013.0,359.0,1.0,10.0,2013.0,359.0,1.0
2012.5448798988623,452.0,1.0,,2012.5448798988623,452.0,1.0
2015.0,85.0,9.0,8.0,2015.0,85.0,9.0
